	Name	Location	Cuisine	Meals	Price Level (out of 4)	Rating (out of 6)	Review Count	Page URL
167	JUGANG Helsinki Wanhasatama	Katajanokka 	Fusion	Lunch, Dinner	0	4.7		/en/place/jugang-helsinki-wanhasatama-96576/menu
168	99 TopMeal	City Centre 	Asian	Lunch, Dinner	0	5.7		/en/place/99-topmeal-101562/menu
169	Ristorante Mirella	Hietalahti 	Pizza	Lunch, Dinner	0	4.7		/en/place/ristorante-mirella-100944/menu
170	Rannagor	Pasila 	Bangladeshi	Lunch, Dinner	0	5.6		/en/place/rannagor-101159/menu
171	Ravintola Lukla	Töölö 	Nepalese	Lunch, Dinner	0	5.5		/en/place/ravintola-lukla-96005/menu
172	Annan Kartano	Tuomarinkylä 	Finnish	Lunch, Sunday lunch	0	4.9		/en/place/annan-kartano-94514/about
173	Ravintola Skörd	Punavuori 	Finnish	Dinner	0	5.8		/en/place/ravintola-skord-92227/about
174	Boneless Flemari	Kallio 	Burgers	Lunch, Dinner	0	5.4		/en/place/boneless-flemari-100117/menu
175	Seksico® Tacos Viiskulma	Punavuori 	Mexican	Lunch, Dinner	0	5.1		/en/place/seksico-tacos-viiskulma-105504/menu
176	Levant Töölö	Töölö 	Middle Eastern	Lunch, Dinner	0	5.1		/en/place/levant-toolo-95444/menu
177	Dylan Kottby	Oulunkylä 	International	Lunch, Brunch	0	4.6		/en/place/dylan-kottby-20924/menu
178	Cafe Elo	Malminkartano 	Eat & Drink	Breakfast, Lunch, Brunch, Cake & Coffee	0	4.9		/en/place/cafe-elo-98790/menu
179	Pikku Ranska	Munkkiniemi 	European	Buffet, Lunch, Dessert, Dinner	0	5.1		/en/place/pikku-ranska-94811/menu
180	La Galleria	Kruununhaka 	Pizza	Dinner	0	5.0		/en/place/la-galleria-109402/about
181	Lopez Tacos Teurastamo	Kalasatama 	Mexican	Dinner	0	5.2		/en/place/lopez-tacos-teurastamo-105478/menu
182	Open Lobby - Ruoholahti	Ruoholahti 	Scandinavian	Breakfast, Lunch, Dessert, Dinner	0	4.3		/en/place/holiday-inn-open-lobby-ruoholahti-63292/menu
183	Suski Bar & Kitchen	Malmi 	International	Lunch, Dinner	0	4.9		/en/place/suski-bar-kitchen-70479/menu
184	Wine & Tapas Helsinki	Kamppi 	Spanish	Tapas, Lunch, Dinner	0	5.3		/en/place/wine-tapas-helsinki-107955/menu
185	Monda	Kamppi 	Eat & Drink	Lunch, Dessert, Dinner	0	6.0		/en/place/monda-108094/about
186	Korttelikahvila Mariankatu 18	Kruununhaka 	Scandinavian	Breakfast, Buffet, Lunch, Brunch	0	5.4		/en/place/korttelikahvila-mariankatu-18-100344/menu
187	Ravintola Halikarnas	Hietalahti 	Turkish	Lunch, Dinner	0	5.2		/en/place/ravintola-halikarnas-99848/menu
188	Indie Bistro & Bar	City Centre 	Indian	Lunch, Dessert, Dinner	0			/en/place/indie-bistro-bar-108280/menu
189	Hungry Hub Keskusta	City Centre 	Burgers	Lunch, Dinner	0			/en/place/hungry-hub-keskusta-109237/menu
190	Mokka Cafe Helsinki	City Centre 	Cake & Coffee	Lunch, Dinner	0			/en/place/mokka-cafe-helsinki-109462/menu
191	Mashiro Vallila	Vallila 	Japanese	Lunch, Dessert, Dinner, High Tea	0	3.9		/en/place/mashiro-vallila-49120/menu
192	Majakkalaiva Relandersgrund	Kruununhaka 	Eat & Drink	Lunch, Dinner	0	4.3		/en/place/majakkalaiva-relandersgrund-106468/about
193	The Last Drop Bar & Kitchen	Kaartinkaupunki 	Eat & Drink	Dinner	0	5.3		/en/place/the-last-drop-bar-kitchen-104517/menu
194	Stu 11	Alppiharju 	International	Breakfast, Lunch, Brunch	0	6.0		/en/place/stu-11-108466/menu
195	Flow Bar Kallio	Kallio 	German	Dinner	0	4.9		/en/place/flow-bar-kallio-98284/menu
196	16 Boom	Kruununhaka 	Asian	Lunch, Dinner	0	6.0		/en/place/16-boom-92322/menu
197	Victoria's Cafe & Bakery	Jätkäsaari 	Eat & Drink	Lunch, Dessert, Cake & Coffee	0	3.0		/en/place/victorias-cafe-bakery-104669/menu
198	Pikku Eden	Vallila 	Eat & Drink	Tapas	0	4.8		/en/place/pikku-eden-108222/menu
199	Vranec Jätkäsaari	Jätkäsaari 	Eat & Drink	Dinner	0			/en/place/vranec-jatkasaari-108397/about
200	POCHA! Korean Street Dining	Sörnäinen 	Korean	Dinner	0	5.4		/en/place/pocha-korean-street-dining-108266/menu
201	Old Durbar Annankatu	Kamppi 	Nepalese	Lunch, Dessert, Dinner	0	5.7		/en/place/old-durbar-annankatu-105536/menu
202	Mama's Empanadas & Wine	Kallio 	Eat & Drink	Breakfast, Tapas, Lunch, Dinner	0	5.0		/en/place/mama-s-empanadas-wine-104632/menu
203	Golden Rocks Kallio	Kallio 	Eat & Drink	Lunch	0	3.0		/en/place/golden-rocks-kallio-108419/about
204	Ravintola Base Camp Helsinki	City Centre 	Nepalese	Lunch, Dessert, Dinner	0	5.5		/en/place/ravintola-base-camp-18140/about
205	La Bottega 13	Ullanlinna 	Italian	Dinner	0	5.9		/en/place/la-bottega-13-107999/menu
206	DIF Döner Ruoholahti	Ruoholahti 	Kebab	Lunch, Dinner, Sunday lunch	0	4.7		/en/place/dif-doner-95525/menu
207	OPPA Korean BBQ Kamppi Autotalo	Kamppi 	Korean	Dinner	0	4.4		/en/place/oppa-korean-bbq-kamppi-108487/menu
208	Bistro Qulma	Kruununhaka 	Scandinavian	Lunch, Dessert, Dinner	0	4.7		/en/place/bistro-qulma-104369/menu
209	Mojo Street Food	Kallio 	Asian Fusion	Lunch, Dessert, Dinner	0	4.0		/en/place/mojo-street-food-100278/menu
210	Ravintola 14 Peaks	Hakaniemi 	Nepalese	Buffet, Lunch, Dinner	0	5.4		/en/place/ravintola-14-peaks-107154/menu
211	Seksico® City Bodega	City Centre 	Mexican	Lunch, Dinner	0	5.4		/en/place/seksico-city-bodega-108834/about
212	Restaurant & Bar Santa Clara	Jätkäsaari 	Pizza	Dinner	0			/en/place/restaurant-bar-santa-clara-108086/menu
213	Muteh Cafe-Bistro	Töölö 	Cake & Coffee	Lunch, Dinner	0	5.8		/en/place/muteh-cafe-bistro-107133/menu
